sep=;
time;model_id;model_name;port_name;data
0;1;481063_5094035;;<0,0,0,0,0,0,307,0>
0;2;481013_5094135;;<0,0,0,0,0,0,308,1>
0;3;481063_5094085;;<0,0,0,0,0,0,307,0>
0;4;481013_5094085;;<0,0,0,0,0,0,307,0>
0;5;481013_5094035;;<0,0,0,0,0,0,307,0>
0;6;480963_5094235;;<0,0,0,0,0,0,307,1>
0;7;480963_5094185;;<0,0,0,0,0,0,306,1>
0;8;481163_5094085;;<0,0,0,0,0,0,310,0>
0;9;480963_5094085;;<0,0,0,0,0,0,307,0>
0;10;480963_5094035;;<0,0,0,0,0,0,307,0>
0;11;480813_5094285;;<0,0,0,0,0,0,316,0>
0;12;480913_5094235;;<0,0,0,0,0,0,308,1>
0;13;480863_5094185;;<0,0,0,0,0,0,307,1>
0;14;481063_5094135;;<0,0,0,0,0,0,308,0>
0;15;480863_5094235;;<0,0,0,0,0,0,307,1>
0;16;481113_5094035;;<0,0,0,0,0,0,307,0>
0;17;481113_5094135;;<0,0,0,0,0,0,314,0>
0;18;480913_5094135;;<0,0,0,0,0,0,308,1>
0;19;481213_5094035;;<0,0,0,0,0,0,306,0>
0;20;480913_5094185;;<0,0,0,0,0,0,307,1>
0;21;481263_5094035;;<0,0,0,0,0,0,306,0>
0;22;480863_5094285;;<0,0,0,0,0,0,318,0>
0;23;481163_5094035;;<0,0,0,0,0,0,306,0>
0;24;480863_5094035;;<0,0,0,0,0,0,307,0>
0;25;480813_5094085;;<0,0,0,0,0,0,307,1>
0;26;481213_5094085;;<0,0,0,0,0,0,308,0>
0;27;481263_5094085;;<0,0,0,0,0,0,305,0>
0;28;481313_5094035;;<0,0,0,0,0,0,306,0>
0;29;480913_5094035;;<0,0,0,0,0,0,307,0>
0;30;481013_5094185;;<0,0,0,0,0,0,308,1>
0;31;481113_5094085;;<0,0,0,0,0,0,310,0>
0;32;480863_5094135;;<0,0,0,0,0,0,307,1>
0;33;480813_5094135;;<0,0,0,0,0,0,307,1>
0;34;480913_5094085;;<0,0,0,0,0,0,307,1>
0;35;480963_5094135;;<0,0,0,0,0,0,309,1>
0;36;480863_5094085;;<0,0,0,0,0,0,307,1>
0;37;480813_5094235;;<0,0,0,0,0,0,312,1>
