sep=;
time;model_id;model_name;port_name;data
0;1;(4,5);;<0,0,0,0,0,0,2,0>
0;2;(4,4);;<0,0,0,0,0,0,2,0>
0;3;(1,4);;<0,0,0,0,0,0,2,0>
0;4;(6,3);;<0,0,0,0,0,0,2,0>
0;5;(5,3);;<0,0,0,0,0,0,2,0>
0;6;(0,4);;<0,0,0,0,0,0,2,0>
0;7;(4,3);;<0,0,0,0,0,0,2,0>
0;8;(1,3);;<0,0,0,0,0,0,2,0>
0;9;(0,3);;<0,0,0,0,0,0,2,0>
0;10;(6,2);;<0,0,0,0,0,0,2,0>
0;11;(4,2);;<0,0,0,0,0,0,2,0>
0;12;(3,5);;<0,0,0,0,0,0,2,0>
0;13;(3,2);;<0,0,0,0,0,0,2,0>
0;14;(6,1);;<0,0,0,0,0,0,2,0>
0;15;(2,4);;<0,0,0,0,0,0,2,0>
0;16;(3,1);;<0,0,0,0,0,0,2,0>
0;17;(5,0);;<0,0,0,0,0,0,2,0>
0;18;(4,0);;<0,0,0,0,0,0,2,0>
0;19;(3,0);;<0,0,0,0,0,0,2,0>
0;20;(0,0);;<0,0,0,0,0,0,2,0>
0;21;(1,2);;<0,0,0,0,0,0,2,1>
0;22;(4,9);;<0,0,0,0,0,1,5,2>
0;23;(0,5);;<0,0,0,0,0,0,2,0>
0;24;(3,4);;<0,0,0,0,0,0,2,0>
0;25;(4,7);;<0,0,0,0,0,1,5,0>
0;26;(2,2);;<0,0,0,0,0,0,2,0>
0;27;(4,6);;<0,0,0,0,0,1,5,0>
0;28;(5,2);;<0,0,0,0,0,0,2,0>
0;29;(3,9);;<0,0,0,0,0,0,10,0>
0;30;(2,3);;<0,0,0,0,0,0,2,0>
0;31;(3,8);;<0,0,0,0,0,0,10,0>
0;32;(5,5);;<0,0,0,0,0,1,5,0>
0;33;(3,3);;<0,0,0,0,0,0,2,0>
0;34;(2,8);;<0,0,0,0,0,0,10,0>
0;35;(2,6);;<0,0,0,0,0,0,10,0>
0;36;(2,0);;<0,0,0,0,0,0,2,0>
0;37;(3,6);;<0,0,0,0,0,0,10,0>
0;38;(7,2);;<20,0,0,0,0,2,0,4>
0;39;(1,9);;<0,0,0,0,0,0,10,0>
0;40;(1,7);;<0,0,0,0,0,0,10,0>
0;41;(7,1);;<20,0,0,0,0,2,0,4>
